Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RapidGenomics_F205_GOT_125402_P001_WG04_i5-501_i7-10_S2587_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG04_i5-501_i7-10_S2587_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3287001.0	0.0	151.0	37.0	89.82259213278944	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG04_i5-501_i7-10_S2587_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG04_i5-501_i7-10_S2587_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3287001.0	0.0	151.0	37.0	91.21066021007562	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG05_i5-501_i7-69_S2588_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG05_i5-501_i7-69_S2588_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2174196.0	0.0	151.0	39.0	91.18612980086918	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG05_i5-501_i7-69_S2588_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG05_i5-501_i7-69_S2588_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2174196.0	0.0	151.0	38.0	92.66554622616225	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WG06_i5-501_i7-14_S2589_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG06_i5-501_i7-14_S2589_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1652580.0	0.0	151.0	38.0	92.42182687077941	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG06_i5-501_i7-14_S2589_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG06_i5-501_i7-14_S2589_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1652580.0	0.0	151.0	38.0	93.77384057613504	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG07_i5-501_i7-18_S2590_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG07_i5-501_i7-18_S2590_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1583115.0	0.0	151.0	38.0	92.38654759703557	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG07_i5-501_i7-18_S2590_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG07_i5-501_i7-18_S2590_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1583115.0	0.0	151.0	38.0	93.12681699010669	151.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WG08_i5-501_i7-68_S2591_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG08_i5-501_i7-68_S2591_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1889953.0	0.0	151.0	36.0	93.53979431585529	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG08_i5-501_i7-68_S2591_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG08_i5-501_i7-68_S2591_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1889953.0	0.0	151.0	36.0	94.47796486491859	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WG09_i5-501_i7-41_S2592_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG09_i5-501_i7-41_S2592_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4310.0	0.0	151.0	42.0	98.14385150812065	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG09_i5-501_i7-41_S2592_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG09_i5-501_i7-41_S2592_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4310.0	0.0	151.0	40.0	98.09744779582367	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG10_i5-501_i7-37_S2593_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG10_i5-501_i7-37_S2593_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1358889.0	0.0	151.0	38.0	91.08664091926666	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG10_i5-501_i7-37_S2593_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG10_i5-501_i7-37_S2593_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1358889.0	0.0	151.0	38.0	92.62048014632491	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WG11_i5-501_i7-96_S2594_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG11_i5-501_i7-96_S2594_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2526186.0	0.0	151.0	42.0	92.02011880755508	151.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
RapidGenomics_F205_GOT_125402_P001_WG11_i5-501_i7-96_S2594_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG11_i5-501_i7-96_S2594_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2526186.0	0.0	151.0	42.0	92.51628224184867	151.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
RapidGenomics_F205_GOT_125402_P001_WG12_i5-501_i7-42_S2595_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WG12_i5-501_i7-42_S2595_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3765159.0	0.0	151.0	45.0	88.54377238735984	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WG12_i5-501_i7-42_S2595_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WG12_i5-501_i7-42_S2595_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3765159.0	0.0	151.0	45.0	89.67976889831989	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH01_i5-501_i7-11_S2596_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH01_i5-501_i7-11_S2596_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5245159.0	0.0	151.0	42.0	80.46549998133577	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	fail
RapidGenomics_F205_GOT_125402_P001_WH01_i5-501_i7-11_S2596_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH01_i5-501_i7-11_S2596_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5245159.0	0.0	151.0	42.0	84.805269729261	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
RapidGenomics_F205_GOT_125402_P001_WH02_i5-501_i7-32_S2597_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH02_i5-501_i7-32_S2597_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3150695.0	0.0	151.0	37.0	80.69791610767413	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH02_i5-501_i7-32_S2597_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH02_i5-501_i7-32_S2597_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3150695.0	0.0	151.0	37.0	82.77630291142822	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH03_i5-501_i7-88_S2598_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH03_i5-501_i7-88_S2598_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1747319.0	0.0	151.0	37.0	90.9642962944213	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH03_i5-501_i7-88_S2598_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH03_i5-501_i7-88_S2598_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1747319.0	0.0	151.0	37.0	92.11911599041524	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH04_i5-501_i7-73_S2599_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH04_i5-501_i7-73_S2599_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2977376.0	0.0	151.0	39.0	90.95084709044443	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P001_WH04_i5-501_i7-73_S2599_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH04_i5-501_i7-73_S2599_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2977376.0	0.0	151.0	39.0	92.68022736934826	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH05_i5-501_i7-15_S2600_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH05_i5-501_i7-15_S2600_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3291119.0	0.0	151.0	38.0	85.68881256744109	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH05_i5-501_i7-15_S2600_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH05_i5-501_i7-15_S2600_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3291119.0	0.0	151.0	38.0	86.6659763974429	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH06_i5-501_i7-49_S2601_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH06_i5-501_i7-49_S2601_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3392106.0	0.0	151.0	45.0	92.17785928892465	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH06_i5-501_i7-49_S2601_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH06_i5-501_i7-49_S2601_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3392106.0	0.0	151.0	45.0	92.63860364313075	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH07_i5-501_i7-1_S2602_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH07_i5-501_i7-1_S2602_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3424148.0	0.0	151.0	38.0	86.29103732871755	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH07_i5-501_i7-1_S2602_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH07_i5-501_i7-1_S2602_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3424148.0	0.0	151.0	38.0	87.10537078237634	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH08_i5-501_i7-85_S2603_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH08_i5-501_i7-85_S2603_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2891007.0	0.0	151.0	36.0	92.09128061068172	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WH08_i5-501_i7-85_S2603_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH08_i5-501_i7-85_S2603_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2891007.0	0.0	151.0	36.0	92.54091737697371	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH09_i5-501_i7-83_S2604_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH09_i5-501_i7-83_S2604_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2724397.0	0.0	151.0	34.0	89.20993637209156	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH09_i5-501_i7-83_S2604_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH09_i5-501_i7-83_S2604_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2724397.0	0.0	151.0	34.0	89.62225818387208	151.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH10_i5-501_i7-34_S2605_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH10_i5-501_i7-34_S2605_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3465703.0	0.0	151.0	38.0	89.80046041479663	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH10_i5-501_i7-34_S2605_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH10_i5-501_i7-34_S2605_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3465703.0	0.0	151.0	38.0	90.33229704935094	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH11_i5-501_i7-95_S2606_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH11_i5-501_i7-95_S2606_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3070224.0	0.0	151.0	37.0	88.79125010317588	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH11_i5-501_i7-95_S2606_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH11_i5-501_i7-95_S2606_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3070224.0	0.0	151.0	37.0	89.26798335743571	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WH12_i5-501_i7-56_S2607_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WH12_i5-501_i7-56_S2607_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1530650.0	0.0	151.0	39.0	94.8527639417002	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
RapidGenomics_F205_GOT_125402_P001_WH12_i5-501_i7-56_S2607_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WH12_i5-501_i7-56_S2607_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1530650.0	0.0	151.0	39.0	94.99225042728429	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	fail
RapidGenomics_F205_GOT_125402_P002_WA01_i5-502_i7-59_S2608_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA01_i5-502_i7-59_S2608_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3961409.0	0.0	151.0	46.0	83.59011859868279	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA01_i5-502_i7-59_S2608_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA01_i5-502_i7-59_S2608_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3961409.0	0.0	151.0	46.0	84.63181114493152	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA02_i5-502_i7-27_S2609_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA02_i5-502_i7-27_S2609_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1162592.0	0.0	151.0	38.0	90.5966316631225	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	fail
RapidGenomics_F205_GOT_125402_P002_WA02_i5-502_i7-27_S2609_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA02_i5-502_i7-27_S2609_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1162592.0	0.0	151.0	38.0	91.06813275278238	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail
RapidGenomics_F205_GOT_125402_P002_WA03_i5-502_i7-82_S2610_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA03_i5-502_i7-82_S2610_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2064766.0	0.0	151.0	48.0	92.06488226174355	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA03_i5-502_i7-82_S2610_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA03_i5-502_i7-82_S2610_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2064766.0	0.0	151.0	48.0	92.66076907642132	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA04_i5-502_i7-7_S2611_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA04_i5-502_i7-7_S2611_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1144610.0	0.0	151.0	37.0	85.17086681864645	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P002_WA04_i5-502_i7-7_S2611_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA04_i5-502_i7-7_S2611_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1144610.0	0.0	151.0	38.0	88.7851259594296	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA05_i5-502_i7-38_S2612_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA05_i5-502_i7-38_S2612_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1334427.0	0.0	151.0	41.0	89.874254020769	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA05_i5-502_i7-38_S2612_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA05_i5-502_i7-38_S2612_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1334427.0	0.0	151.0	41.0	93.27845879461505	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA06_i5-502_i7-74_S2613_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA06_i5-502_i7-74_S2613_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1290762.0	0.0	151.0	37.0	90.35231476128094	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA06_i5-502_i7-74_S2613_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA06_i5-502_i7-74_S2613_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1290762.0	0.0	151.0	37.0	91.22249172886391	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA07_i5-502_i7-77_S2614_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA07_i5-502_i7-77_S2614_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2623036.0	0.0	151.0	42.0	92.72095163330907	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA07_i5-502_i7-77_S2614_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA07_i5-502_i7-77_S2614_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2623036.0	0.0	151.0	42.0	93.65188571922451	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WA08_i5-502_i7-16_S2615_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA08_i5-502_i7-16_S2615_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2101914.0	0.0	151.0	45.0	93.08886481092088	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA08_i5-502_i7-16_S2615_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA08_i5-502_i7-16_S2615_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2101914.0	0.0	151.0	45.0	94.39167104903358	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA09_i5-502_i7-36_S2616_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA09_i5-502_i7-36_S2616_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3525197.0	0.0	151.0	38.0	87.74251023134896	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA09_i5-502_i7-36_S2616_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA09_i5-502_i7-36_S2616_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3525197.0	0.0	151.0	38.0	87.97265185734466	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA10_i5-502_i7-54_S2617_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA10_i5-502_i7-54_S2617_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4264458.0	0.0	151.0	41.0	92.42224985156301	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA10_i5-502_i7-54_S2617_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA10_i5-502_i7-54_S2617_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4264458.0	0.0	151.0	41.0	92.6537484280678	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA11_i5-502_i7-25_S2618_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA11_i5-502_i7-25_S2618_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11512465.0	0.0	151.0	47.0	88.47035180106135	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA11_i5-502_i7-25_S2618_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA11_i5-502_i7-25_S2618_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11512465.0	0.0	151.0	47.0	88.86456030716687	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA12_i5-502_i7-23_S2619_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WA12_i5-502_i7-23_S2619_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3218200.0	0.0	151.0	38.0	90.96452376870296	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WA12_i5-502_i7-23_S2619_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WA12_i5-502_i7-23_S2619_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3218200.0	0.0	151.0	38.0	91.33063405691124	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WB01_i5-502_i7-31_S2620_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WB01_i5-502_i7-31_S2620_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1563563.0	0.0	151.0	35.0	88.56109963407407	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WB01_i5-502_i7-31_S2620_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WB01_i5-502_i7-31_S2620_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1563563.0	0.0	151.0	35.0	89.36013532815986	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P002_WB02_i5-502_i7-39_S2621_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WB02_i5-502_i7-39_S2621_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2729231.0	0.0	151.0	51.0	84.78114734347974	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P002_WB02_i5-502_i7-39_S2621_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WB02_i5-502_i7-39_S2621_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2729231.0	0.0	151.0	51.0	86.81276128023867	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P002_WB03_i5-502_i7-2_S2622_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WB03_i5-502_i7-2_S2622_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1713982.0	0.0	151.0	43.0	82.34033754477615	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P002_WB03_i5-502_i7-2_S2622_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WB03_i5-502_i7-2_S2622_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1713982.0	0.0	151.0	43.0	90.55550185453937	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WB04_i5-502_i7-20_S2623_L003_R1_001	RapidGenomics_F205_GOT_125402_P002_WB04_i5-502_i7-20_S2623_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1088244.0	0.0	151.0	48.0	92.96191628619775	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P002_WB04_i5-502_i7-20_S2623_L003_R2_001	RapidGenomics_F205_GOT_125402_P002_WB04_i5-502_i7-20_S2623_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1088244.0	0.0	151.0	48.0	94.55864510293294	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
