P001_WA08_00018 	Cyperaceae;Carex	Cyperaceae;Hypolytrum	Orchidaceae;Coeloglossum	Ranunculaceae;Trollius	Caryophyllaceae;Silene	Caryophyllaceae;Silene
P003_WA10_00129 	Gentianaceae;Gentiana	Primulaceae;Primula	Primulaceae;Soldanella	Cyperaceae;Eriophorum	Primulaceae;Soldanella	Primulaceae;Primula
P003_WA10_00162 	Gentianaceae;Gentiana	Sapotaceae;Argania	Primulaceae;Soldanella	Primulaceae;Soldanella	Gentianaceae;Gentiana	Gentianaceae;Gentiana
P003_WA10_00206 	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Gentianaceae;Gentiana	Orobanchaceae;Euphrasia
P003_WB07_00137 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Primula	Primulaceae;Trientalis
P003_WB07_00138 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Andromeda	Primulaceae;Primula	Asteraceae;Petasites	Asteraceae;Hieracium
P003_WB07_00139 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Harrimanella	Ericaceae;Andromeda	Ericaceae;Vaccinium
P003_WC02_00051 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P003_WC02_00052 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P003_WC02_00053 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P003_WC02_00054 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Cassiope	Ericaceae;Pieris	Primulaceae;Trientalis
P003_WC02_00055 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Phyllodoce	Ericaceae;Kalmia	Ericaceae;Harrimanella	Ericaceae;Harrimanella
P003_WC05_00030 	Saxifragaceae;Saxifraga	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P003_WC05_00067 	Saxifragaceae;Saxifraga	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P003_WC08_00007 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa
P003_WC08_00008 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Phleum
P003_WD01_00114 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P003_WD01_00115 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Vaccinium	Primulaceae;Trientalis
P003_WD01_00116 	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P003_WD07_00005 	Brassicaceae;Cochlearia	Brassicaceae;Kernera	Papaveraceae;Papaver	Brassicaceae;Cardamine	Asteraceae;Taraxacum	Ericaceae;Pieris
P003_WD07_00111 	Brassicaceae;Cochlearia	Brassicaceae;Cochlearia	Brassicaceae;Cochlearia	Asteraceae;Taraxacum	Brassicaceae;Cardamine	Brassicaceae;Cardamine
P003_WD09_00079 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P003_WD09_00096 	Salicaceae;Salix	Erythroxylaceae;Erythroxylum	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P003_WD10_00019 	Caryophyllaceae;Sagina	Caryophyllaceae;Colobanthus	Rosaceae;Spiraea	Caryophyllaceae;Minuartia	Caryophyllaceae;Minuartia	Caryophyllaceae;Viscaria
P003_WD10_00020 	Caryophyllaceae;Sagina	Caryophyllaceae;Colobanthus	Caryophyllaceae;Minuartia	Rosaceae;Spiraea	Caryophyllaceae;Minuartia	Caryophyllaceae;Viscaria
P003_WD12_00004 	Plantaginaceae;Veronica	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Saussurea	Asteraceae;Saussurea	Poaceae;Calamagrostis
P003_WD12_00094 	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Fabaceae;Hedysarum
P003_WE02_00042 	Poaceae;Festuca	Asteraceae;Pseudognaphalium	Asteraceae;Antennaria	Asteraceae;Omalotheca	Asteraceae;Gnaphalium	Asteraceae;Antennaria
P003_WE02_00165 	Poaceae;Festuca	Poaceae;Festuca	Cyperaceae;Carex	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca
P003_WE04_00031 	Poaceae;Agrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P003_WE04_00032 	Poaceae;Agrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P003_WE04_00094 	Poaceae;Agrostis	Poaceae;Chikusichloa	Poaceae;Agrostis	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
P003_WE12_00012 	Caryophyllaceae;Dianthus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Caryophyllaceae;Stellaria	Caryophyllaceae;Cerastium	Caryophyllaceae;Stellaria
P003_WE12_00218 	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Brassicaceae;Arabis	Cyperaceae;Carex
P003_WF01_00115 	Onagraceae;Epilobium	Onagraceae;Epilobium	Cupressaceae;Juniperus	Betulaceae;Betula	Rosaceae;Dryas	Cyperaceae;Carex
P003_WF01_00362 	Onagraceae;Epilobium	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis
P003_WF11_00119 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Brassicaceae;Arabis	Cyperaceae;Carex
P003_WF11_00134 	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Caryophyllaceae;Dianthus	Caryophyllaceae;Stellaria	Caryophyllaceae;Cerastium	Caryophyllaceae;Stellaria
P003_WG02_00024 	Cyperaceae;Carex	Ranunculaceae;Aconitum	Cyperaceae;Carex	Poaceae;Festuca	Asteraceae;Antennaria	Asteraceae;Antennaria
P003_WG02_00070 	Cyperaceae;Carex	Rosaceae;Dryas	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas	Rosaceae;Spiraea
P003_WG08_00033 	Brassicaceae;Draba	Brassicaceae;Draba	Brassicaceae;Draba	Brassicaceae;Draba	Papaveraceae;Papaver	Asteraceae;Taraxacum
P003_WG08_00045 	Brassicaceae;Draba	Meliaceae;Entandrophragma	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Ranunculaceae;Trollius	Ranunculaceae;Pulsatilla
P003_WG10_00004 	Juncaceae;Juncus	Papaveraceae;Meconopsis	Juncaceae;Juncus	Papaveraceae;Papaver	Ranunculaceae;Pulsatilla	Cyperaceae;Carex
P003_WG10_00033 	Juncaceae;Juncus	Proteaceae;Telopea	Ranunculaceae;Trollius	Brassicaceae;Draba	Papaveraceae;Papaver	Betulaceae;Betula
P003_WG11_00008 	Asteraceae;Cirsium	Asteraceae;Cirsium	Asteraceae;Saussurea	Asteraceae;Saussurea	Poaceae;Calamagrostis	Asteraceae;Centaurea
P003_WG11_00189 	Asteraceae;Cirsium	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Plantaginaceae;Veronica	Asteraceae;Cirsium	Fabaceae;Hedysarum
P003_WG11_00218 	Asteraceae;Cirsium	Poaceae;Festuca	Poaceae;Festuca	Gentianaceae;Gentianella	Asteraceae;Cirsium	Poaceae;Festuca
P003_WH06_00020 	Saxifragaceae;Saxifraga	Meliaceae;Entandrophragma	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Ranunculaceae;Trollius	Ranunculaceae;Pulsatilla
P003_WH06_00021 	Saxifragaceae;Saxifraga	Saxifragaceae;Micranthes	Saxifragaceae;Chrysosplenium	Caryophyllaceae;Silene	Asteraceae;Hieracium	Asteraceae;Hieracium
P004_WB01_00076 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Avenella
P004_WB01_00077 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Arctagrostis	Poaceae;Alopecurus	Poaceae;Dupontia
P004_WB01_00078 	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Alopecurus	Poaceae;Phleum	Poaceae;Arctagrostis
P004_WB02_00070 	Ericaceae;Pieris	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Harrimanella	Ericaceae;Phyllodoce	Ericaceae;Kalmia
P004_WB02_00071 	Ericaceae;Pieris	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Harrimanella	Ericaceae;Vaccinium	Ericaceae;Vaccinium
P004_WB02_00072 	Ericaceae;Pieris	Ericaceae;Vaccinium	Ericaceae;Cassiope	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Primulaceae;Trientalis
P004_WB02_00073 	Ericaceae;Pieris	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium
P004_WB02_00074 	Ericaceae;Pieris	Ericaceae;Vaccinium	Ericaceae;Cassiope	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P004_WB02_00075 	Ericaceae;Pieris	Ericaceae;Monotropa	Caryophyllaceae;Arenaria	Primulaceae;Trientalis	Crassulaceae;Sedum	Primulaceae;Primula
P004_WB02_00104 	Ericaceae;Pieris	Brassicaceae;Arabis	Ericaceae;Pieris	Papaveraceae;Papaver	Brassicaceae;Arabis	Brassicaceae;Draba
P004_WC01_00074 	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
P004_WC01_00075 	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Hierochloe	Poaceae;Festuca	Poaceae;Calamagrostis	Poaceae;Agrostis
P004_WG01_00080 	Rosaceae;Sieversia	Rosaceae;Fallugia	Rosaceae;Rubus	Rosaceae;Potentilla	Rosaceae;Potentilla	Rosaceae;Potentilla
P004_WG01_00111 	Rosaceae;Sieversia	Rosaceae;Rosa	Rosaceae;Sieversia	Rosaceae;Rubus	Rosaceae;Potentilla	Rosaceae;Sibbaldia
P8807_501_00134 	Ericaceae;Andromeda	Ericaceae;Gaultheria	Ericaceae;Phyllodoce	Lentibulariaceae;Pinguicula	Papaveraceae;Papaver	Lentibulariaceae;Pinguicula
P8807_501_00135 	Ericaceae;Andromeda	Ericaceae;Gaultheria	Ericaceae;Vaccinium	Plantaginaceae;Veronica	Asteraceae;Cirsium	Asteraceae;Petasites
P8807_501_00136 	Ericaceae;Andromeda	Ericaceae;Gaultheria	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Harrimanella	Ericaceae;Vaccinium
P8807_511_00007 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa
P8807_511_00008 	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Poa	Poaceae;Phleum
P8807_514_00027 	Ericaceae;Harrimanella	Ericaceae;Vaccinium	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron	Ericaceae;Rhododendron
P8807_514_00028 	Ericaceae;Harrimanella	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Pieris
P8807_514_00029 	Ericaceae;Harrimanella	Ericaceae;Rhododendron	Ericaceae;Phyllodoce	Ranunculaceae;Aconitum	Cyperaceae;Carex	Ranunculaceae;Trollius
P8807_514_00030 	Ericaceae;Harrimanella	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Vaccinium	Ericaceae;Andromeda	Primulaceae;Trientalis
P8807_517_00106 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Primulaceae;Primula	Primulaceae;Primula
P8807_517_00108 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Rhododendron
P8807_517_00109 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Harrimanella	Ericaceae;Pieris
P8807_517_00110 	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Ericaceae;Vaccinium	Saxifragaceae;Chrysosplenium	Caryophyllaceae;Silene	Saxifragaceae;Saxifraga
WA01_00045 	Rosaceae;Potentilla	Rosaceae;Adenostoma	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Cyperaceae;Carex	Rosaceae;Dryas
WA01_00063 	Rosaceae;Potentilla	Rosaceae;Potentilla	Rosaceae;Potentilla	Orobanchaceae;Pedicularis	Rosaceae;Potentilla	Rosaceae;Potentilla
WA03_00034 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
WA03_00035 	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
WB02_00042 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Cyperaceae;Carex	Polygonaceae;Polygonum	Polygonaceae;Rumex
WB02_00043 	Geraniaceae;Geranium	Geraniaceae;Geranium	Violaceae;Viola	Violaceae;Viola	Lentibulariaceae;Pinguicula	Lentibulariaceae;Pinguicula
WB02_00044 	Geraniaceae;Geranium	Geraniaceae;Geranium	Cyperaceae;Carex	Geraniaceae;Geranium	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga
WB02_00045 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga
WB02_00046 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Cupressaceae;Juniperus	Betulaceae;Betula	Rosaceae;Sibbaldia
WB02_00048 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Polygonaceae;Rumex	Polygonaceae;Rumex	Polygonaceae;Rumex
WB02_00049 	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Dryas	Cyperaceae;Carex	Rosaceae;Dryas
WC04_00001 	Poaceae;Agrostis	Poaceae;Chikusichloa	Poaceae;Agrostis	Poaceae;Hyalopoa	Poaceae;Calamagrostis	Poaceae;Arctagrostis
WC04_00094 	Poaceae;Agrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
WC04_00095 	Poaceae;Agrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis	Poaceae;Calamagrostis	Poaceae;Agrostis
