P001_WA02_00088 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia; 	Salicaceae;Salix; 	Orobanchaceae;Bartsia;
P001_WF08_00098 	Orchidaceae;Coeloglossum; 	Orchidaceae;Dactylorhiza	Tofieldiaceae;Tofieldia; 	Liliaceae;Fritillaria; 	Cyperaceae;Carex; 	Rosaceae;Dryas;
P001_WF08_00099 	Orchidaceae;Coeloglossum; 	Orchidaceae;Dactylorhiza	Liliaceae;Fritillaria; 	Liliaceae;Gagea; 	Ranunculaceae;Thalictrum; 	Cyperaceae;Carex;
P001_WF09_00053 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Comastoma; 	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana;
P001_WF09_00054 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WF10_00079 	Fabaceae;Anthyllis; 	Fabaceae;Lotus	Fabaceae;Astragalus; 	Fabaceae;Astragalus; 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis;
P001_WF10_00080 	Fabaceae;Anthyllis; 	Fabaceae;Securigera	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis;
P001_WF11_00018 	Apiaceae;Seseli; 	Apiaceae;Angelica	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum; 	Apiaceae;Carum; 	Apiaceae;Carum;
P001_WF11_00019 	Apiaceae;Seseli; 	Apiaceae;Heracleum	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum; 	Apiaceae;Carum; 	Apiaceae;Carum;
P001_WF12_00028 	Geraniaceae;Geranium; 	Geraniaceae;Geranium	Geraniaceae;Geranium; 	Geraniaceae;Geranium; 	Lamiaceae;Betonica; 	Betulaceae;Betula;
P001_WF12_00029 	Geraniaceae;Geranium; 	Geraniaceae;Geranium	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Cyperaceae;Carex;
P001_WG01_00072 	Ranunculaceae;Thalictrum; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Trollius; 	Ranunculaceae;Aconitum; 	Cyperaceae;Carex;
P001_WG01_00073 	Ranunculaceae;Thalictrum; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Pulsatilla; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus;
P001_WG02_00024 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG02_00025 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG02_00117 	Cyperaceae;Carex; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Trollius; 	Ranunculaceae;Aconitum; 	Cyperaceae;Carex;
P001_WG02_00118 	Cyperaceae;Carex; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Pulsatilla; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus;
P001_WG04_00124 	Cyperaceae;Carex; 	Cyperaceae;Carex	Tofieldiaceae;Tofieldia; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG04_00125 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WG05_00077 	Caryophyllaceae;Viscaria; 	Caryophyllaceae;Silene	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene;
P001_WG05_00078 	Caryophyllaceae;Viscaria; 	Caryophyllaceae;Silene	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene;
P001_WG06_00044 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG06_00045 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG06_00046 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Bergenia	Saxifragaceae;Saxifraga; 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG06_00085 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG06_00086 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WG07_00016 	Gentianaceae;Gentianella; 	Gentianaceae;Swertia	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Orobanchaceae;Pedicularis;
P001_WG07_00017 	Gentianaceae;Gentianella; 	Gentianaceae;Swertia	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WG08_00092 	Asteraceae;Anthemis; 	Asteraceae;Tanacetum	Asteraceae;Matricaria; 	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Erigeron;
P001_WG08_00093 	Asteraceae;Anthemis; 	Asteraceae;Artemisia	Asteraceae;Anthemis; 	Asteraceae;Anthemis; 	Asteraceae;Artemisia; 	Asteraceae;Achillea;
P001_WG10_00106 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum; 	Cyperaceae;Carex;
P001_WG10_00108 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum;
P001_WG11_00042 	Liliaceae;Gagea; 	Liliaceae;Lloydia	Liliaceae;Fritillaria; 	Orchidaceae;Coeloglossum; 	Ranunculaceae;Thalictrum; 	Cyperaceae;Carex;
P001_WG11_00043 	Liliaceae;Gagea; 	Liliaceae;Gagea	Liliaceae;Fritillaria; 	Tofieldiaceae;Tofieldia; 	Caprifoliaceae;Scabiosa; 	Rosaceae;Dryas;
P001_WG12_00038 	Poaceae;Catabrosella; 	Poaceae;Phippsia	Poaceae;Hyalopoa; 	Poaceae;Arctagrostis; 	Poaceae;Arctophila; 	Poaceae;Dupontia;
P001_WH01_00017 	Celastraceae;Parnassia; 	Celastraceae;Parnassia	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Dryas;
P001_WH01_00019 	Celastraceae;Parnassia; 	Celastraceae;Parnassia	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WH02_00004 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WH02_00006 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WH03_00047 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WH03_00048 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WH04_00090 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WH04_00091 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WH05_00065 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium; 	Fabaceae;Hedysarum;
P001_WH05_00066 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Asteraceae;Cirsium; 	Fabaceae;Hedysarum;
P001_WH06_00024 	Poaceae;Trisetum; 	Poaceae;Littledalea	Poaceae;Trisetum; 	Poaceae;Arctophila; 	Poaceae;Dupontia; 	Poaceae;Arctagrostis;
P001_WH06_00075 	Poaceae;Trisetum; 	Poaceae;Littledalea	Poaceae;Trisetum; 	Poaceae;Arctophila; 	Poaceae;Dupontia; 	Poaceae;Arctagrostis;
P001_WH06_00076 	Poaceae;Trisetum; 	Poaceae;Koeleria	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Hierochloe;
P001_WH07_00112 	Asteraceae;Scorzonera; 	Asteraceae;Sonchus	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WH07_00115 	Asteraceae;Scorzonera; 	Asteraceae;Crepidiastrum	Asteraceae;Leontodon; 	Asteraceae;Leontodon; 	Asteraceae;Solidago; 	Asteraceae;Petasites;
P001_WH08_00075 	Asteraceae;Anthemis; 	Asteraceae;Artemisia	Asteraceae;Anthemis; 	Asteraceae;Anthemis; 	Asteraceae;Artemisia; 	Asteraceae;Achillea;
P001_WH08_00076 	Asteraceae;Anthemis; 	Asteraceae;Tanacetum	Asteraceae;Anthemis; 	Asteraceae;Matricaria; 	Asteraceae;Achillea; 	Asteraceae;Artemisia;
P001_WH09_00058 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula;
P001_WH09_00060 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula;
P001_WH10_00073 	Hypericaceae;Hypericum; 	Heteromyidae;Dipodomys	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Cyperaceae;Carex;
P001_WH11_00066 	Asteraceae;Erigeron; 	Asteraceae;Conyza	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Asteraceae;Aster;
P001_WH11_00067 	Asteraceae;Erigeron; 	Asteraceae;Erigeron	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Anthemis; 	Asteraceae;Matricaria;
P001_WH12_00035 	Asteraceae;Hieracium; 	Asteraceae;Sonchus	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Leontodon;
P001_WH12_00038 	Asteraceae;Hieracium; 	Asteraceae;Sonchus	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Leontodon;
P001_WH12_00095 	Asteraceae;Hieracium; 	Asteraceae;Sonchus	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Leontodon;
P001_WH12_00098 	Asteraceae;Hieracium; 	Asteraceae;Sonchus	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Leontodon;
P002_WA01_00060 	Poaceae;Hyalopoa; 	Poaceae;Phippsia	Poaceae;Catabrosella; 	Poaceae;Arctagrostis; 	Poaceae;Dupontia; 	Poaceae;Sesleria;
P002_WA02_00011 	Fabaceae;Trifolium; 	Fabaceae;Trifolium	Fabaceae;Trifolium; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Oxytropis;
P002_WA02_00013 	Fabaceae;Trifolium; 	Fabaceae;Trifolium	Fabaceae;Trifolium; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus; 	Fabaceae;Hedysarum;
P002_WA03_00022 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P002_WA04_00081 	Apiaceae;Carum; 	Apiaceae;Carum	Apiaceae;Carum; 	Apiaceae;Peucedanum; 	Apiaceae;Ligusticum; 	Apiaceae;Seseli;
P002_WA04_00082 	Apiaceae;Carum; 	Apiaceae;Carum	Apiaceae;Carum; 	Apiaceae;Tilingia; 	Apiaceae;Chaerophyllum; 	Apiaceae;Bupleurum;
P002_WA05_00079 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P002_WA05_00080 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P002_WA06_00088 	Apiaceae;Peucedanum; 	Apiaceae;Angelica	Apiaceae;Ligusticum; 	Apiaceae;Seseli; 	Apiaceae;Carum; 	Apiaceae;Carum;
P002_WA06_00089 	Apiaceae;Peucedanum; 	Apiaceae;Angelica	Apiaceae;Ligusticum; 	Apiaceae;Seseli; 	Apiaceae;Carum; 	Apiaceae;Carum;
P002_WA07_00053 	Ericaceae;Harrimanella; 	Primulaceae;Bryocarpum	Ericaceae;Harrimanella; 	Ericaceae;Phyllodoce; 	Ericaceae;Pieris; 	Ericaceae;Andromeda;
P002_WA07_00054 	Ericaceae;Harrimanella; 	Ericaceae;Vaccinium	Ericaceae;Harrimanella; 	Ericaceae;Cassiope; 	Ericaceae;Pieris; 	Ericaceae;Vaccinium;
P002_WA07_00056 	Ericaceae;Harrimanella; 	Ericaceae;Gaultheria	Ericaceae;Harrimanella; 	Ericaceae;Pieris; 	Ericaceae;Cassiope; 	Ericaceae;Vaccinium;
P002_WA08_00042 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa;
P002_WA09_00077 	Rosaceae;Dryas; 	Rosaceae;Dryas	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Dryas; 	Rosaceae;Spiraea;
P002_WA09_00079 	Rosaceae;Dryas; 	Rosaceae;Dryas	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Rubus;
P002_WA10_00054 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WA11_00071 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P002_WA12_00065 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WA12_00066 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WB01_00053 	Apiaceae;Chaerophyllum; 	Apiaceae;Pternopetalum	Apiaceae;Tilingia; 	Apiaceae;Carum; 	Apiaceae;Carum; 	Apiaceae;Bupleurum;
P002_WB01_00054 	Apiaceae;Chaerophyllum; 	Apiaceae;Caucalis	Apiaceae;Tilingia; 	Apiaceae;Carum; 	Apiaceae;Carum; 	Apiaceae;Ligusticum;
P002_WB02_00065 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Trientalis;
P002_WB02_00066 	Primulaceae;Primula; 	Primulaceae;Primula	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula; 	Primulaceae;Primula;
P002_WB03_00017 	Caryophyllaceae;Arenaria; 	Caryophyllaceae;Psammosilene	Caryophyllaceae;Viscaria; 	Rosaceae;Spiraea; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Minuartia;
P002_WB03_00018 	Caryophyllaceae;Arenaria; 	Caryophyllaceae;Agrostemma	Caryophyllaceae;Silene; 	Caryophyllaceae;Viscaria; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene;
P002_WB04_00028 	Poaceae;Helictotrichon; 	Poaceae;Helictochloa	Poaceae;Sesleria; 	Poaceae;Hyalopoa; 	Poaceae;Arctagrostis; 	Poaceae;Dupontia;
P002_WB05_00104 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WB05_00105 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis;
P002_WB06_00018 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Sibbaldia;
P002_WB06_00019 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla;
P002_WB07_00112 	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Phyllodoce; 	Ericaceae;Empetrum; 	Ericaceae;Rhododendron;
P002_WB07_00113 	Ericaceae;Bryanthus; 	Ericaceae;Rhododendron	Ericaceae;Phyllodoce; 	Ericaceae;Empetrum; 	Ericaceae;Rhododendron; 	Ericaceae;Harrimanella;
P002_WB08_00030 	Poaceae;Poa; 	Poaceae;Poa	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa;
P002_WB09_00100 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WB09_00101 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WB10_00066 	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Pseudocerastium	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium;
P002_WB10_00068 	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Pseudostellaria	Caryophyllaceae;Stellaria; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium;
P002_WB11_00019 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis;
P002_WB11_00021 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WB12_00033 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Rosaceae;Spiraea; 	Crassulaceae;Rhodiola;
P002_WB12_00034 	Saxifragaceae;Chrysosplenium; 	Saxifragaceae;Chrysosplenium	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P002_WC01_00013 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WC01_00014 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WC01_00138 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla;
P002_WC01_00139 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla;
P002_WC02_00086 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus;
P002_WC02_00087 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus;
P002_WC03_00085 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Bartsia;
P002_WC03_00087 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia; 	Brassicaceae;Arabis; 	Salicaceae;Salix; 	Orobanchaceae;Bartsia;
P002_WC04_00016 	Asteraceae;Aster; 	Asteraceae;Diplostephium	Juncaceae;Luzula; 	Asteraceae;Solidago; 	Asteraceae;Aster; 	Asteraceae;Erigeron;
P002_WC04_00017 	Asteraceae;Aster; 	Asteraceae;Aster	Asteraceae;Solidago; 	Juncaceae;Luzula; 	Asteraceae;Aster; 	Asteraceae;Erigeron;
P002_WC05_00006 	Apiaceae;Tilingia; 	Apiaceae;Ligusticum	Apiaceae;Carum; 	Apiaceae;Chaerophyllum; 	Apiaceae;Carum; 	Apiaceae;Ligusticum;
P002_WC05_00100 	Apiaceae;Tilingia; 	Apiaceae;Ostericum	Apiaceae;Chaerophyllum; 	Apiaceae;Carum; 	Apiaceae;Carum; 	Apiaceae;Bupleurum;
P002_WC06_00082 	Juncaceae;Luzula; 	Doryanthaceae;Doryanthes	Juncaceae;Luzula; 	Cyperaceae;Carex; 	Juncaceae;Luzula; 	Juncaceae;Luzula;
P002_WC07_00055 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron; 	Ericaceae;Rhododendron;
P002_WC08_00047 	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine; 	Brassicaceae;Arabis; 	Brassicaceae;Draba;
P002_WC08_00048 	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine	Brassicaceae;Cardamine; 	Brassicaceae;Cardamine; 	Juncaceae;Luzula; 	Brassicaceae;Cochlearia;
P002_WC09_00051 	Fabaceae;Astragalus; 	Fabaceae;Astragalus	Fabaceae;Astragalus; 	Fabaceae;Trifolium; 	Fabaceae;Trifolium; 	Fabaceae;Oxytropis;
P002_WC09_00052 	Fabaceae;Astragalus; 	Fabaceae;Astragalus	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus;
P002_WC10_00008 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Polygonaceae;Rumex;
P002_WC10_00009 	Polygonaceae;Persicaria; 	Polygonaceae;Bistorta	Polygonaceae;Bistorta; 	Polygonaceae;Polygonum; 	Polygonaceae;Bistorta; 	Polygonaceae;Oxyria;
P002_WC11_00098 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Gypsophila	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Sagina;
P002_WC11_00099 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Psammosilene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Viscaria;
P002_WC12_00018 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P002_WC12_00019 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Asteraceae;Antennaria; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P002_WD01_00063 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla;
P002_WD01_00064 	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla	Orobanchaceae;Pedicularis; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla;
P002_WD01_00156 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WD01_00157 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis; 	Orobanchaceae;Pedicularis;
P002_WD02_00019 	Violaceae;Viola; 	Violaceae;Viola	Violaceae;Viola; 	Rosaceae;Dryas; 	Rosaceae;Dryas; 	Rosaceae;Dryas;
P002_WD02_00020 	Violaceae;Viola; 	Violaceae;Viola	Violaceae;Viola; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P002_WD03_00097 	Asteraceae;Erigeron; 	Asteraceae;Erigeron	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Anthemis; 	Asteraceae;Matricaria;
P002_WD03_00098 	Asteraceae;Erigeron; 	Asteraceae;Conyza	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Asteraceae;Aster;
P002_WD04_00063 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Sibbaldia;
P002_WD04_00064 	Rosaceae;Potentilla; 	Rosaceae;Potentilla	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Orobanchaceae;Pedicularis;
